num,title_en_x,link_en,difficulty_x,acp_x,title_en2,title_cn,link_cn,difficulty_y,acp_y,title_en_y,question_descriptions
11,Container With Most Water,https://leetcode.com/problems/container-with-most-water/description/,Medium,37.2%,Container With Most Water,盛最多水的容器,https://leetcode-cn.com/problems/container-with-most-water/description/,中等,29.9%,Container With Most Water,"<div class=""question-description__3U1T"" style=""padding-top: 10px;""><div class=""translation-tool__3Ffj""><span aria-hidden=""true"" class="""" data-original-title=""显示英文"" data-placement=""left"" data-toggle=""tooltip"" style=""cursor: pointer;""><div class=""switch-base__1Zql"" data-on=""false""><div class=""toggle__3ZBJ""></div></div></span></div><div><p>给定 <em>n</em> 个非负整数 <em>a</em><sub>1</sub>，<em>a</em><sub>2，</sub>...，<em>a</em><sub>n，</sub>每个数代表坐标中的一个点 (<em>i</em>, <em>a<sub>i</sub></em>) 。画 <em>n</em> 条垂直线，使得垂直线 <em>i</em> 的两个端点分别为 (<em>i</em>, <em>a<sub>i</sub></em>) 和 (<em>i</em>, 0)。找出其中的两条线，使得它们与 <em>x</em> 轴共同构成的容器可以容纳最多的水。</p>
<p><strong>注意：</strong>你不能倾斜容器，<em>n</em> 至少是2。</p>
</div></div>"
12,Integer to Roman,https://leetcode.com/problems/integer-to-roman/description/,Medium,46.6%,Integer to Roman,整数转罗马数字,https://leetcode-cn.com/problems/integer-to-roman/description/,中等,54.2%,Integer to Roman,"<div class=""question-description__3U1T"" style=""padding-top: 10px;""><div class=""translation-tool__3Ffj""><span aria-hidden=""true"" class="""" data-original-title=""显示英文"" data-placement=""left"" data-toggle=""tooltip"" style=""cursor: pointer;""><div class=""switch-base__1Zql"" data-on=""false""><div class=""toggle__3ZBJ""></div></div></span></div><div><p>罗马数字包含以下七种字符： <code>I</code>， <code>V</code>， <code>X</code>， <code>L</code>，<code>C</code>，<code>D</code> 和 <code>M</code>。</p>
<pre><strong>字符</strong>          <strong>数值</strong>
I             1
V             5
X             10
L             50
C             100
D             500
M             1000</pre>
<p>例如， 罗马数字 2 写做 <code>II</code> ，即为两个并列的 1。12 写做 <code>XII</code> ，即为 <code>X</code> + <code>II</code> 。 27 写做  <code>XXVII</code>, 即为 <code>XX</code> + <code>V</code> + <code>II</code> 。</p>
<p>通常情况下，罗马数字中小的数字在大的数字的右边。但也存在特例，例如 4 不写做 <code>IIII</code>，而是 <code>IV</code>。数字 1 在数字 5 的左边，所表示的数等于大数 5 减小数 1 得到的数值 4 。同样地，数字 9 表示为 <code>IX</code>。这个特殊的规则只适用于以下六种情况：</p>
<ul>
<li><code>I</code> 可以放在 <code>V</code> (5) 和 <code>X</code> (10) 的左边，来表示 4 和 9。</li>
<li><code>X</code> 可以放在 <code>L</code> (50) 和 <code>C</code> (100) 的左边，来表示 40 和 90。 </li>
<li><code>C</code> 可以放在 <code>D</code> (500) 和 <code>M</code> (1000) 的左边，来表示 400 和 900。</li>
</ul>
<p>给定一个整数，将其转为罗马数字。输入确保在 1 到 3999 的范围内。</p>
<p><strong>示例 1:</strong></p>
<pre><strong>输入:</strong> 3
<strong>输出:</strong> ""III""</pre>
<p><strong>示例 2:</strong></p>
<pre><strong>输入:</strong> 4
<strong>输出:</strong> ""IV""</pre>
<p><strong>示例 3:</strong></p>
<pre><strong>输入:</strong> 9
<strong>输出:</strong> ""IX""</pre>
<p><strong>示例 4:</strong></p>
<pre><strong>输入:</strong> 58
<strong>输出:</strong> ""LVIII""
<strong>解释:</strong> C = 100, L = 50, XXX = 30, III = 3.
</pre>
<p><strong>示例 5:</strong></p>
<pre><strong>输入:</strong> 1994
<strong>输出:</strong> ""MCMXCIV""
<strong>解释:</strong> M = 1000, CM = 900, XC = 90, IV = 4.</pre>
</div></div>"
13,Roman to Integer,https://leetcode.com/problems/roman-to-integer/description/,Easy,48.5%,Roman to Integer,罗马数字转整数,https://leetcode-cn.com/problems/roman-to-integer/description/,简单,53.4%,Roman to Integer,"<div class=""question-description__3U1T"" style=""padding-top: 10px;""><div class=""translation-tool__3Ffj""><span aria-hidden=""true"" class="""" data-original-title=""显示英文"" data-placement=""left"" data-toggle=""tooltip"" style=""cursor: pointer;""><div class=""switch-base__1Zql"" data-on=""false""><div class=""toggle__3ZBJ""></div></div></span></div><div><p>罗马数字包含以下七种字符：<code>I</code>， <code>V</code>， <code>X</code>， <code>L</code>，<code>C</code>，<code>D</code> 和 <code>M</code>。</p>
<pre><strong>字符</strong>          <strong>数值</strong>
I             1
V             5
X             10
L             50
C             100
D             500
M             1000</pre>
<p>例如， 罗马数字 2 写做 <code>II</code> ，即为两个并列的 1。12 写做 <code>XII</code> ，即为 <code>X</code> + <code>II</code> 。 27 写做  <code>XXVII</code>, 即为 <code>XX</code> + <code>V</code> + <code>II</code> 。</p>
<p>通常情况下，罗马数字中小的数字在大的数字的右边。但也存在特例，例如 4 不写做 <code>IIII</code>，而是 <code>IV</code>。数字 1 在数字 5 的左边，所表示的数等于大数 5 减小数 1 得到的数值 4 。同样地，数字 9 表示为 <code>IX</code>。这个特殊的规则只适用于以下六种情况：</p>
<ul>
<li><code>I</code> 可以放在 <code>V</code> (5) 和 <code>X</code> (10) 的左边，来表示 4 和 9。</li>
<li><code>X</code> 可以放在 <code>L</code> (50) 和 <code>C</code> (100) 的左边，来表示 40 和 90。 </li>
<li><code>C</code> 可以放在 <code>D</code> (500) 和 <code>M</code> (1000) 的左边，来表示 400 和 900。</li>
</ul>
<p>给定一个罗马数字，将其转换成整数。输入确保在 1 到 3999 的范围内。</p>
<p><strong>示例 1:</strong></p>
<pre><strong>输入:</strong> ""III""
<strong>输出:</strong> 3</pre>
<p><strong>示例 2:</strong></p>
<pre><strong>输入:</strong> ""IV""
<strong>输出:</strong> 4</pre>
<p><strong>示例 3:</strong></p>
<pre><strong>输入:</strong> ""IX""
<strong>输出:</strong> 9</pre>
<p><strong>示例 4:</strong></p>
<pre><strong>输入:</strong> ""LVIII""
<strong>输出:</strong> 58
<strong>解释:</strong> C = 100, L = 50, XXX = 30, III = 3.
</pre>
<p><strong>示例 5:</strong></p>
<pre><strong>输入:</strong> ""MCMXCIV""
<strong>输出:</strong> 1994
<strong>解释:</strong> M = 1000, CM = 900, XC = 90, IV = 4.</pre>
</div></div>"
14,Longest Common Prefix,https://leetcode.com/problems/longest-common-prefix/description/,Easy,31.7%,Longest Common Prefix,最长公共前缀,https://leetcode-cn.com/problems/longest-common-prefix/description/,简单,28.3%,Longest Common Prefix,"<div class=""question-description__3U1T"" style=""padding-top: 10px;""><div class=""translation-tool__3Ffj""><span aria-hidden=""true"" class="""" data-original-title=""显示英文"" data-placement=""left"" data-toggle=""tooltip"" style=""cursor: pointer;""><div class=""switch-base__1Zql"" data-on=""false""><div class=""toggle__3ZBJ""></div></div></span></div><div><p>编写一个函数来查找字符串数组中的最长公共前缀。</p>
<p>如果不存在公共前缀，返回空字符串 <code>""""</code>。</p>
<p><strong>示例 1:</strong></p>
<pre><strong>输入: </strong>[""flower"",""flow"",""flight""]
<strong>输出:</strong> ""fl""
</pre>
<p><strong>示例 2:</strong></p>
<pre><strong>输入: </strong>[""dog"",""racecar"",""car""]
<strong>输出:</strong> """"
<strong>解释:</strong> 输入不存在公共前缀。
</pre>
<p><strong>说明:</strong></p>
<p>所有输入只包含小写字母 <code>a-z</code> 。</p>
</div></div>"
15,3Sum,https://leetcode.com/problems/3sum/description/,Medium,21.8%,3Sum,三数之和,https://leetcode-cn.com/problems/3sum/description/,中等,14.2%,3Sum,"<div class=""question-description__3U1T"" style=""padding-top: 10px;""><div class=""translation-tool__3Ffj""><span aria-hidden=""true"" class="""" data-original-title=""显示英文"" data-placement=""left"" data-toggle=""tooltip"" style=""cursor: pointer;""><div class=""switch-base__1Zql"" data-on=""false""><div class=""toggle__3ZBJ""></div></div></span></div><div><p>给定一个包含 <em>n</em> 个整数的数组 <code>nums</code>，判断 <code>nums</code> 中是否存在三个元素 <em>a，b，c ，</em>使得 <em>a + b + c = </em>0 ？找出所有满足条件且不重复的三元组。</p>
<p><strong>注意：</strong>答案中不可以包含重复的三元组。</p>
<pre>例如, 给定数组 nums = [-1, 0, 1, 2, -1, -4]，

满足要求的三元组集合为：
[
  [-1, 0, 1],
  [-1, -1, 2]
]
</pre>
</div></div>"
16,3Sum Closest,https://leetcode.com/problems/3sum-closest/description/,Medium,31.9%,3Sum Closest,最接近的三数之和,https://leetcode-cn.com/problems/3sum-closest/description/,中等,32.8%,3Sum Closest,"<div class=""question-description__3U1T"" style=""padding-top: 10px;""><div class=""translation-tool__3Ffj""><span aria-hidden=""true"" class="""" data-original-title=""显示英文"" data-placement=""left"" data-toggle=""tooltip"" style=""cursor: pointer;""><div class=""switch-base__1Zql"" data-on=""false""><div class=""toggle__3ZBJ""></div></div></span></div><div><p>给定一个包括 <em>n</em> 个整数的数组 <code>nums</code><em> </em>和 一个目标值 <code>target</code>。找出 <code>nums</code><em> </em>中的三个整数，使得它们的和与 <code>target</code> 最接近。返回这三个数的和。假定每组输入只存在唯一答案。</p>
<pre>例如，给定数组 nums = [-1，2，1，-4], 和 target = 1.

与 target 最接近的三个数的和为 2. (-1 + 2 + 1 = 2).
</pre>
</div></div>"
17,Letter Combinations of a Phone Number,https://leetcode.com/problems/letter-combinations-of-a-phone-number/description/,Medium,36.9%,Letter Combinations of a Phone Number,电话号码的字母组合,https://leetcode-cn.com/problems/letter-combinations-of-a-phone-number/description/,中等,41.6%,Letter Combinations of a Phone Number,"<div class=""question-description__3U1T"" style=""padding-top: 10px;""><div class=""translation-tool__3Ffj""><span aria-hidden=""true"" class="""" data-original-title=""显示英文"" data-placement=""left"" data-toggle=""tooltip"" style=""cursor: pointer;""><div class=""switch-base__1Zql"" data-on=""false""><div class=""toggle__3ZBJ""></div></div></span></div><div><p>给定一个仅包含数字 <code>2-9</code> 的字符串，返回所有它能表示的字母组合。</p>
<p>给出数字到字母的映射如下（与电话按键相同）。注意 1 不对应任何字母。</p>
<p><img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Telephone-keypad2.svg/200px-Telephone-keypad2.svg.png""/></p>
<p><strong>示例:</strong></p>
<pre><strong>输入：</strong>""23""
<strong>输出：</strong>[""ad"", ""ae"", ""af"", ""bd"", ""be"", ""bf"", ""cd"", ""ce"", ""cf""].
</pre>
<p><strong>说明:</strong><br/>
尽管上面的答案是按字典序排列的，但是你可以任意选择答案输出的顺序。</p>
</div></div>"
18,4Sum,https://leetcode.com/problems/4sum/description/,Medium,27.7%,4Sum,四数之和,https://leetcode-cn.com/problems/4sum/description/,中等,29.2%,4Sum,"<div class=""question-description__3U1T"" style=""padding-top: 10px;""><div class=""translation-tool__3Ffj""><span aria-hidden=""true"" class="""" data-original-title=""显示英文"" data-placement=""left"" data-toggle=""tooltip"" style=""cursor: pointer;""><div class=""switch-base__1Zql"" data-on=""false""><div class=""toggle__3ZBJ""></div></div></span></div><div><p>给定一个包含 <em>n</em> 个整数的数组 <code>nums</code> 和一个目标值 <code>target</code>，判断 <code>nums</code> 中是否存在四个元素 <em>a，</em><em>b，c</em> 和 <em>d</em> ，使得 <em>a</em> + <em>b</em> + <em>c</em> + <em>d</em> 的值与 <code>target</code> 相等？找出所有满足条件且不重复的四元组。</p>
<p><strong>注意：</strong></p>
<p>答案中不可以包含重复的四元组。</p>
<p><strong>示例：</strong></p>
<pre>给定数组 nums = [1, 0, -1, 0, -2, 2]，和 target = 0。

满足要求的四元组集合为：
[
  [-1,  0, 0, 1],
  [-2, -1, 1, 2],
  [-2,  0, 0, 2]
]
</pre>
</div></div>"
19,Remove Nth Node From End of List,https://leetcode.com/problems/remove-nth-node-from-end-of-list/description/,Medium,33.9%,Remove Nth Node From End of List,删除链表的倒数第N个节点,https://leetcode-cn.com/problems/remove-nth-node-from-end-of-list/description/,中等,28.0%,Remove Nth Node From End of List,"<div class=""question-description__3U1T"" style=""padding-top: 10px;""><div class=""translation-tool__3Ffj""><span aria-hidden=""true"" class="""" data-original-title=""显示英文"" data-placement=""left"" data-toggle=""tooltip"" style=""cursor: pointer;""><div class=""switch-base__1Zql"" data-on=""false""><div class=""toggle__3ZBJ""></div></div></span></div><div><p>给定一个链表，删除链表的倒数第 <em>n </em>个节点，并且返回链表的头结点。</p>
<p><strong>示例：</strong></p>
<pre>给定一个链表: <strong>1-&gt;2-&gt;3-&gt;4-&gt;5</strong>, 和 <strong><em>n</em> = 2</strong>.

当删除了倒数第二个节点后，链表变为 <strong>1-&gt;2-&gt;3-&gt;5</strong>.
</pre>
<p><strong>说明：</strong></p>
<p>给定的 <em>n</em> 保证是有效的。</p>
<p><strong>进阶：</strong></p>
<p>你能尝试使用一趟扫描实现吗？</p>
</div></div>"
20,Valid Parentheses,https://leetcode.com/problems/valid-parentheses/description/,Easy,34.2%,Valid Parentheses,有效的括号,https://leetcode-cn.com/problems/valid-parentheses/description/,简单,30.5%,Valid Parentheses,"<div class=""question-description__3U1T"" style=""padding-top: 10px;""><div class=""translation-tool__3Ffj""><span aria-hidden=""true"" class="""" data-original-title=""显示英文"" data-placement=""left"" data-toggle=""tooltip"" style=""cursor: pointer;""><div class=""switch-base__1Zql"" data-on=""false""><div class=""toggle__3ZBJ""></div></div></span></div><div><p>给定一个只包括 <code>'('</code>，<code>')'</code>，<code>'{'</code>，<code>'}'</code>，<code>'['</code>，<code>']'</code> 的字符串，判断字符串是否有效。</p>
<p>有效字符串需满足：</p>
<ol>
<li>左括号必须用相同类型的右括号闭合。</li>
<li>左括号必须以正确的顺序闭合。</li>
</ol>
<p>注意空字符串可被认为是有效字符串。</p>
<p><strong>示例 1:</strong></p>
<pre><strong>输入:</strong> ""()""
<strong>输出:</strong> true
</pre>
<p><strong>示例 2:</strong></p>
<pre><strong>输入:</strong> ""()[]{}""
<strong>输出:</strong> true
</pre>
<p><strong>示例 3:</strong></p>
<pre><strong>输入:</strong> ""(]""
<strong>输出:</strong> false
</pre>
<p><strong>示例 4:</strong></p>
<pre><strong>输入:</strong> ""([)]""
<strong>输出:</strong> false
</pre>
<p><strong>示例 5:</strong></p>
<pre><strong>输入:</strong> ""{[]}""
<strong>输出:</strong> true</pre>
</div></div>"
